Entry,Smile
0,CCOC(=O)C1=C(C)N=C2S[C@H](Cc3ccc(Br)cc3)C(=O)N2C1c4ccc(OC)c(OC)c4
1,Cc1ccc(cc1)C2Nn3c(COc4ccccc4)nnc3SC2C(=O)Nc5ccc(Br)cc5
2,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4C5(C)CC[C@H](O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)C(=O)O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O
3,CCOC(=O)C1(CC2CC2)CNC(=O)CCCN(CCNC(=O)COc3cc(C1)ccc3OC)S(=O)(=O)N4CCCC4
4,FC(F)(F)C1(NC(=Cc2ccccc2)NC3=C1C(=O)NC(=O)N3c4ccc(Cl)cc4)C(F)(F)F
5,COc1cc(ccc1OCC(C)C)C2N(Cc3ccc4OCOc4c3)C(=O)C5=C2C(=O)c6cc(F)ccc6O5
6,COc1ccc(CN2C(C(=O)NC3CCCCC3)[C@]45O[C@H](C=C4)C([C@@H]5C2=O)C(=O)Nc6ccc(OC)cc6)cc1
7,OC(=O)c1ccccc1C2=C3C=CC(=O)C(=C3Oc4c(I)c(O)ccc24)I
8,COc1ccc(CN2C(CC(=O)Nc3ccc(C)cc3C)C(=O)N(C2=S)c4ccccc4)cc1OC
9,CCC(C)N(CC(=O)N(Cc1cccn1Cc2ccc(Br)cc2)C3CCCCC3)C(=O)c4ccc(OC)cc4
10,Cc1ccc(C)c2nc(O)c(cc12)C(N(Cc3occc3)Cc4ccccc4)c5nnnn5C6CCCC6
11,CCOc1ccc(CCNC(=O)COC(=O)C2CCN(CC2)S(=O)(=O)c3ccccc3)cc1OCC
12,Cc1ccc(cc1)n2c(SCC(=O)NNC(=C)c3ccc(Cl)cc3Cl)nnc2c4ccc(Cl)cc4
13,CN1CCCCCCN([C@@H](Cc2ccccc2)COc3ccccc3C1=O)C(=O)COc4ccccc4
14,C[C@H](OCc1ccccc1)[C@@H](NC(=O)OCC2c3ccccc3c4ccccc24)C(=O)N5CCC[C@@H]5CC(=O)O
15,Fc1ccc(cc1)C(=O)N(CC(=O)Nc2nc(cn2c3ccc(F)cc3)c4ccccc4)Cc5ccccc5
16,CCOC(=O)C1=C(CN2CCN(CC2)C(=O)c3occc3)N(CC)C(=O)NC1c4ccccc4Cl
17,CCCCN(CCCC)CN1C(=O)\C(=N\NC(=O)CONC(=C)c2cccs2)\c3cc(Br)ccc13
18,CC1(C)C(C=C(Cl)Cl)C1C(=O)NC(NC(=S)N2C[C@H]3C[C@H](C2)C4=CC=CC(=O)N4C3)C(Cl)(Cl)Cl
19,Cc1ccc(cc1)c2ccc(nn2)N3CCN(CC3)C(=O)CN(Cc4occc4)C(=O)c5ccccc5C
20,CCCCOc1ccc(cc1)c2nn(cc2\C=C\3/SC4=NC(=O)C(=Cc5ccc(F)cc5)NN4C3=O)c6ccccc6
21,Cc1cccc(CN2C(=O)\C(=C/c3ccc(cc3)C(=O)NCCCN4CCCC4=O)\Sc5ccccc25)c1
22,CCOCCN1CC[C@H]2OCc3cccc(Oc4cc(OCC)cc(c4)C(=O)N(C)CC(=O)N[C@H]2C1)c3
23,COC(=O)c1c2CCC(Cc2sc1NC(=O)c3nn4c(cc(nc4c3Br)c5cccs5)C(F)(F)F)C(C)(C)C
24,CCOc1ccc2nc(sc2c1)N(CCCN3CCOCC3)C(=O)c4cc(Cl)sc4Cl
25,Clc1ccc(cc1)C(OC(=O)CNC(=O)CNC(=O)c2ccc(Br)cc2)C(=O)c3ccccc3
26,Cc1ccc(Cl)cc1N(Cc2ccc(cc2)C(=O)NC3CC4CCC3C4)S(=O)(=O)c5ccccc5
27,Cc1cc(C)cc(NC(=S)Nc2cc(ccc2N3CC4CC(C3)C5=CC=CC(=O)N5C4)C(=O)NC6CCCCCCC6)c1
28,C[C@@H](OCc1ccccc1)[C@H](NC(=O)CC(NC(=O)OCC2c3ccccc3c4ccccc24)C5CC5)C(=O)O
29,CO[C@@H]1CCCN([C@@H]1CC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)C(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc3ccccc3
30,COc1cccc(CN(Cc2cccc(c2)C(F)(F)F)Cc3occ(n3)C(=O)NCc4occc4)c1OC
31,CCN(CC)c1ccc(CN(C(C)C)C(=O)CC(C)C)c(OS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1
32,CN1CCC(CC1)NC(=O)c2cnc(Nc3cc(nc(C)n3)C4CCCN(C4)C(=O)OC(C)(C)C)s2
33,CCOc1ccc(c2oc(C=C3C(=O)N=C4SC(=NN4C3=N)C56CC7CC(CC(C7)C5)C6)cc2)c(c1)[N+](=O)[O-]
34,COc1ccc(cc1)C(=O)Oc2ccc3ccccc3c2\C=N\NC(=O)CNC(=O)c4cccc5ccccc45
35,CCOc1ccc(NC(=O)\C(=C\C2=C(Oc3ccccc3Cl)N=C4N(C=CC=C4C)C2=O)\C#N)cc1
36,Cc1ccc(cc1)S(=O)(=O)N2CCN(Cc3c(nc4ccc(cn34)c5cccc(c5)[N+](=O)[O-])c6ccccc6)CC2
37,CCCCc1ccc(cc1)C(=O)N2CCN(CC2)c3nc(C)nc(C)c3Cc4cccc(c4)C(F)(F)F
38,CCC(=O)Nc1ccc(N2CCCN(CC2)C(=O)Nc3ccccc3F)c(c1)C(=O)NCc4ccc(F)cc4
39,CCCCOc1ccc(cc1)C(=O)Oc2ccc(\C=N\NC(=O)c3ccc(cc3)n4c(C)ccc4C)cc2
40,Ic1ccccc1NC(=O)CCC(=O)N\N=C\c2ccc(OCc3ccccc3)cc2
41,CCOc1cccc(C2NC(NC(=C2)c3cccc(Br)c3)c4ccc(Cl)cc4Cl)c1O
42,COc1ccccc1N2CCN(CC2)S(=O)(=O)c3c(C)sc4N=CN(CC(=O)NCCCN5CCOCC5)C(=O)c34
43,ClC12CC3CC(C1)CC(C3)(C2)C(=O)NCc4ccccc4NC(=O)C56CC7CC(CC(Cl)(C7)C5)C6
44,CC(Nc1nc(CNC(=O)CCc2ccccc2)cc(n1)c3ccc(cc3)C(F)(F)F)c4ccccc4
45,C[C@@H]1NC(=O)C2(CCCCc3ccccc3OCCNC1=O)CCN(Cc4ccc5nccnc5c4)CC2
46,OS(=O)(=O)c1ccc2NC(=C)N(C(=O)c2c1)c3ccc(cc3)C(=O)NN4C(SCC4=O)c5cccc(Br)c5
47,CC(C)NC(=O)CC(c1cccc(OCc2ccccc2)c1)c3cn(Cc4ccccc4)c5ccccc35
48,Cc1cc(ccc1N2C(=O)C3N(NC(=C3C2=O)c4ccc(Br)cc4)c5ccccc5)[N+](=O)[O-]
49,Oc1ccc(cc1)C(N(Cc2ccc(F)cc2)C(=O)Cn3nnc4ccccc34)C(=O)NC5CCCCC5
50,COc1cc2CCN(Cc2cc1OC)S(=O)(=O)c3ccc(OC)c(c3)N4CCN(CC4)C(=O)c5cc(F)cc(c5)C(F)(F)F
51,CCCN(CC(=O)N1CCc2sccc2C1COc3ccc(C)cc3C)C(=O)c4ccc(OC)cc4
52,COc1ccc(Cl)cc1NC(=O)N[C@@H](Cc2ccccc2)C(=O)N3CCC(CC3)C(=O)N4CCCCC4
53,Cc1cccc(C)c1N2C(=S)SC3=C2N=C(SCC(=O)c4ccccc4)N(C3=O)c5ccccc5
54,[O-][N+](=O)c1ccc(cc1)N2N=C(c3ccc(Cl)cc3Cl)C4(C2c5ccccc5)C(=O)c6ccccc6C4=O
55,COc1ccc(\C=C(/C#N)\C(=O)Nc2cc(ccc2Cl)C(F)(F)F)cc1OC(=O)c3ccc(C)cc3
56,Cc1cccc(c1)c2nc(C)c(Cc3ccccc3)c(n2)N4CCN(CC4)C(=O)Nc5c(C)cccc5C
57,COCCOC(=O)C1=C(C)N=C2S\C(=C/c3cccc(Oc4ccccc4)c3)\C(=O)N2C1c5ccc(OC(=O)c6occc6)cc5
58,CCC(N(Cc1cccs1)Cc2cc3cc4OCOc4cc3nc2O)c5nnnn5Cc6ccc(OC)cc6
59,CC(=O)c1c(O)c(C)c(O)c2c1OC3=CC(=O)\C(=C(\C)/NC4CCCc5c4[nH]c6ccccc56)\C(=O)[C@]23C
60,CCN1C(=O)NC(C2=C1CN(C(Cc3ccccc3)C(=O)NCc4ccccc4F)C2=O)c5cccc(Oc6ccccc6)c5
61,CCCCC(CC(=O)NC1(CCN(Cc2ccccc2)C1)C(=O)O)NC(=O)OCC3c4ccccc4c5ccccc35
62,CCCOc1ccc(cc1OC)C2C(C(=O)c3ccc(OC)cc3)C(=O)C(=O)N2c4nc5ccc(C)cc5s4
63,CN(Cc1ccccc1)C(=O)CC2(COc3ccc(Cl)cc3)CCCN(C2)C(=O)c4c(F)cccc4F
64,CCOC(=O)C1=C(C)N=C2S\C(=C/c3oc(cc3)c4ccc(Cl)c(Cl)c4)\C(=O)N2C1c5ccc(OC)c(OC)c5
65,Cc1ccc(cc1)C2C3C(=O)CC(C=C3Nc4ccccc4N2C(=O)c5ccccc5)c6ccccc6F
66,COC(=O)c1sc(SC)c(c1C)c2ccn(n2)C(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F
67,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OCC[N](C)(C)C)OC(=O)C
68,COc1cc(\C=N\NC(=O)c2nnn(c2CN3CCOCC3)c4nonc4N)cc(Br)c1O
69,Cc1nnnn1c2ccc(CC(=O)N3CCCOc4cccc(CCC5CCCCN5C(=O)C3)c4)cc2
70,CCCCCCCCCCCCCCCC(=O)NC(NC(=S)Nc1ccccc1C)C(Cl)(Cl)Cl
71,COc1cc(\C=N\NC(=O)COc2ccc(Cl)cc2Br)ccc1OC(=O)c3ccccc3Cl
72,CN(Cc1ccccc1)C(=O)C[C@H]2CN(CC[C@@H]2Oc3cccc(Cl)c3)C(=O)CCN4CCCC4=O
73,CCOC(=O)C1=C(N=C2SC(=Cc3oc(cc3)c4ccc(cc4C)[N+](=O)[O-])C(=O)N2C1c5cc(C(C)C)c(OC)cc5C)c6ccccc6
74,Clc1ccc(COc2ccccc2C(=O)NS(=O)(=O)CCC3CCCCN3C(=O)OCc4ccccc4)cc1
75,CCOc1ccc2[nH]c(C(=O)NC[C@H]3OC[C@H](C4OC(C)(C)O[C@H]34)N5C=C(C)C(=O)NC5=O)c(C)c2c1
76,CCOC(=O)c1c(Cc2ccc(Cl)c(Cl)c2)c(\C=N\NC(=O)NCc3occc3)[nH]c1c4ccccc4
77,CC(C)[C@H]1NC(=O)[C@H](Cc2ccccc2)Nc3cc(CCNC(=O)[C@H](C)NC1=O)nc(NCc4ccccn4)n3
78,CCOc1ccc(cc1)c2cc3NC(=C4CCN(CC4)C(=O)OC(C)(C)C)C(=Cn3n2)C(=O)Nc5c(Cl)cc(OC)cc5OC
79,Cc1nn(c2ccccc2)c3nc(Cc4ccccc4)nc(N5CCN(CC5)S(=O)(=O)c6ccc(Br)cc6)c13
80,CCOC(=O)C1=C(C)N=C2S\C(=C/c3cc(Br)cc(I)c3O)\C(=O)N2C1c4ccc(cc4)N(C)C
81,CC(C)c1ccc(cc1)S(=O)(=O)N2CCC(CC2)c3c(C)n(Cc4ccc(Cl)cc4)c5ccccc35
82,Fc1cccc(NC(=O)CN2C(=O)N(CC3CCC(CC3)C(=O)NCc4ccccc4)C(=O)c5sccc25)c1
83,CC(C)(C)c1ccc(cc1)S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)nc2O
84,COc1cc(\C=C(\C#N)/c2ccc(F)cc2)cc(I)c1OCC(=O)Nc3ccccc3
85,CCC(C)(C)c1ccc(OCCCC(=O)Nc2ccc(Cl)c(NC(=O)CC(=O)c3ccccc3OC)c2)c(c1)C(C)(C)CC
86,CCCCN(CCCC)CCNC(=O)C1CCN(CC1)c2nnc(s2)n3cccc3CNc4ccc(OCC)cc4
87,[O-][N+](=O)c1cc(C=NNC(=O)CSc2nnc(c3ccc(Cl)cc3)n2C4CCCCC4)ccc1Cl
88,COc1ccc(cc1OC)c2cnc3ncnn3c2N4CCN(CC4)S(=O)(=O)c5c(C)c(C)c(C)c(C)c5C
89,COc1cc(C)ccc1OCCNC(=O)[C@@H]2CCC(=O)N[C@H](Cc3ccccc3)C(=O)N(C)CCOc4ccccc4C(=O)N2
90,Clc1ccccc1NS(=O)(=O)c2ccc(N3CCCC3)c(NC(=S)NC4CC5CCC4C5)c2
91,CN1C(=O)N(C)c2nc(N3CCN(CC3)C(c4ccccc4)c5ccccc5)n(Cc6cccc(C)c6)c2C1=O
92,Cc1ccc(nc1)C2CN(CCO2)C(=O)CN3CCC4(CCCCc5ccccc5OCCCNC4=O)CC3
93,Oc1ccc(Br)cc1C2Nc3ccc(I)cc3C(=O)N2NC(=O)c4ccc(Cl)cc4
94,CCn1nc(CC(C)C)cc1C(=O)N2C[C@@H]3C[C@H]2C(=O)NCCCCN(CCCNC(=O)c4ccc(OC)c(O3)c4)C(=O)CN5CCOC5=O
95,CCCCOc1ccc(cc1OC)C2N3C(=O)\C(=C/c4ccccc4OCC)\SC3=NC(=C2C(=O)OCC)C
96,COc1cc(\C=N\NC(=O)Cc2cccc3ccccc23)ccc1OC(=O)c4sc5ccccc5c4Cl
97,CCOC(=O)c1cc(c2ccc(cc2)N3CCN(CC3)C(=O)c4ccc(OC)c(OC)c4)n(n1)c5ccc(OC)cc5
98,CC(C)(S)CCC(=O)Nc1ccc2[nH]c(cc2c1)C(=O)Nc3ccc4[nH]c(cc4c3)C(=O)N5C[C@@H](CCl)c6c5cc(O)c7ccccc67
99,COc1ccc(cc1OC)C(NC(=O)c2cc(OC)c(OC)c(OC)c2)c3cc(c4cccnc4c3O)[N+](=O)[O-]
